VisitID,VisitDateRaw,RepID,RepNameRaw,DoctorID,DoctorNameRaw,SpecialtyRaw,TerritoryRaw,DoctorClass,VisitStatus,Outcome,VisitType,SamplesGiven,FollowUpRequired,DurationMin
V0000030,2025-01-01,R011,Mohamed Saad,D0286,Dr. Aya Saad,Internal,Nasr City,A,Rescheduled,Not Applicable,Launch,0,No,0
V0000031,2025-01-01,R011,Mohamed Saad,D0305,Dr. Ahmed Adel,Internal,Nasr City,C,Completed,No Interest,Launch,2,No,12
V0000032,2025-01-01,R011,Mohamed Saad,D0278,Dr. Sara Tarek,Gyna,Nasr City,C,Completed,Not Available,Routine,0,No,8
V0000033,2025-01-02,R001,Ahmed Hassan,D0008,Dr. Mahmoud Nabil,Pedia,Shebin El-Kom,C,Completed,Interested,Routine,0,Yes,27
V0000034,2025-01-02,R001,Ahmed Hassan,D0020,Dr. Aya Emad,Internal,Shebin El-Kom,B,Completed,Interested,Launch,1,No,25
V0000035,2025-01-02,R001,Ahmed Hassan,D0018,Dr. Aya Ali,INTERNAL,Shebin El-Kom,B,Completed,Follow-up,Routine,0,Yes,15
V0000036,2025-01-02,R002,Mona Samir,D0047,Dr. Mohamed Hassan,Gyna,Menouf,C,Completed,Sample Accepted,Routine,1,No,21
V0000037,2025-01-02,R002,Mona Samir,D0045,Dr. Mariam Saad,Internal,Menouf,C,Completed,Interested,Routine,1,Yes,8
V0000038,2025-01-02,R002,Mona Samir,D0049,Dr. Mostafa Samir,Pedia,Menouf,B,Completed,Sample Accepted,Educational,2,No,17
V0000039,2025-01-02,R003,Karim Hany,D0064,Dr. Mahmoud Hassan,Gyna,Ashmoun,B,Completed,Follow-up,Educational,1,Yes,16
V0000040,2025-01-02,R003,Karim Hany,D0065,Dr. Nour Samir,Gyna,Ashmoun,A,Completed,Follow-up,Launch,1,Yes,13
V0000041,2025-01-02,R004,Sara Mostafa,D0078,Dr. Mariam Adel,Internal,Sadat City,B,Completed,No Interest,Educational,0,No,19
V0000042,2025-01-02,R004,Sara Mostafa,D0093,Dr. Mina Nabil,Internal,Sadat City,A,Cancelled,Not Applicable,Launch,0,No,0
V0000043,2025-01-02,R004,Sara Mostafa,D0089,Dr. Aya Saad,Internal,sadat city,B,Completed,Interested,Launch,1,Yes,17
V0000044,2025-01-02,R004,Sara Mostafa,D0096,Dr. Mostafa Hassan,Internal,Sadat City,B,Completed,Interested,Follow-up,2,Yes,24
V0000045,2025-01-02,R005,Mahmoud Tarek,D0111,Dr. Sara Fathy,Internal,Tanta,A,Completed,Interested,Routine,1,No,12
V0000046,2025-01-02,R005,Mahmoud Tarek,D0128,Dr. Nour Saad,Internal,Tanta,B,Completed,Sample Accepted,Educational,2,Yes,16
V0000047,2025-01-02,R005,Mahmoud Tarek,D0105,Dr. Ahmed Tarek,Internal,Tanta,B,Cancelled,Not Applicable,Routine,0,No,0
V0000048,2025-01-02,R005,Mahmoud Tarek,D0125,Dr. Mahmoud Tarek,Internal,Tanta,B,Completed,Interested,Routine,1,Yes,14
V0000049,2025-01-02,R007,Mostafa Adel,D0175,Dr. Sara Saad,pedia ,Benha,B,Completed,Follow-up,Follow-up,2,Yes,11
V0000050,2025-01-02,R007,Mostafa Adel,D0170,Dr. Mina Ali,Pedia,Benha,B,Completed,Follow-up,Follow-up,0,Yes,26
V0000051,2025-01-02,R007,Mostafa Adel,D0159,Dr. Ahmed Saad,Internal,Benha,C,Completed,Not Available,Educational,3,No,14
V0000052,2025-01-02,R008,Yara Emad,D0193,Dr. Mina Hassan,Gyna,Shubra El Kheima,B,Completed,Follow-up,Educational,0,Yes,22
V0000053,2025-01-02,R008,Yara Emad,D0189,Dr. Mina Saad,Gyna,Shubra El Kheima,B,Completed,No Interest,Educational,0,No,14
V0000054,2025-01-02,R010,Rana Ashraf,D0273,Dr. Mostafa Saad,Gyna,Maadi,C,Cancelled,Not Applicable,Routine,0,No,0
V0000055,2025-01-02,R010,Rana Ashraf,D0274,Dr. Mina Fathy,Gyna,Maadi,B,Completed,Follow-up,Routine,0,Yes,13
V0000056,2025-01-02,R010,Rana Ashraf,D0247,Dr. Aya Nabil,Internal,Maadi,B,Completed,No Interest,Routine,2,No,13
V0000057,2025-01-02,R010,Rana Ashraf,D0267,Dr. Ahmed Ali,Internal,Maadi,C,Completed,Interested,Launch,1,Yes,21
V0000058,2025-01-02,R011,Mohamed Saad,D0286,Dr. Aya Saad,Internal,Nasr City,A,Completed,Follow-up,Routine,2,No,8
V0000059,2025-01-02,R011,Mohamed Saad,D0290,Dr. Aya Fathy,Pedia,Nasr City,C,Completed,Interested,Launch,0,Yes,13
V0000060,2025-01-02,R011,Mohamed Saad,D0301,Dr. Mostafa Saad,Pedia,Nasr City,A,Completed,Follow-up,Launch,1,Yes,20
V0000061,2025-01-02,R011,Mohamed Saad,D0302,Dr. Mahmoud Emad,Internal,Nasr City,C,Completed,Follow-up,Launch,0,No,24
V0000062,2025-01-03,R001,Ahmed Hassan,D0017,Dr. Sara Adel,Pedia,Shebin El-Kom,B,Completed,Sample Accepted,Routine,0,Yes,12
V0000063,2025-01-03,R001,Ahmed Hassan,D0028,Dr. Mohamed Tarek,Internal,Shebin El-Kom,A,Completed,No Interest,Launch,3,No,6
V0000064,2025-01-03,R001,Ahmed Hassan,D0013,Dr. Mohamed Emad,Gyna,Shebin El-Kom,C,Completed,Not Available,Routine,2,No,10
V0000065,2025-01-03,R001,Ahmed Hassan,D0004,Dr. Rana Emad,Pedia,Shebin El-Kom,C,Completed,Sample Accepted,Follow-up,1,No,19
V0000066,2025-01-03,R002,Mona Samir,D0035,Dr. Nour Wael,Gyna,Menouf,A,Completed,Sample Accepted,Follow-up,1,Yes,24
V0000067,2025-01-03,R002,Mona Samir,D0047,Dr. Mohamed Hassan,Gyn,Menouf,C,Cancelled,Not Applicable,Routine,0,No,0
V0000068,2025-01-03,R002,Mona Samir,D0033,Dr. Ahmed Wael,Pedia,Menouf,C,Completed,Not Available,Launch,1,No,22
V0000069,2025-01-03,R003,Karim Hany,D0068,Dr. Mohamed Nabil,Internal,Ashmoun,C,Completed,Follow-up,Follow-up,1,Yes,30
V0000070,2025-01-03,R003,Karim Hany,D0064,Dr. Mahmoud Hassan,Gyna,Ashmoun,B,Completed,Interested,Follow-up,1,Yes,22
V0000071,2025-01-03,R003,Karim Hany,D0051,Dr. Mohamed Nabil,Pedia,Ashmoun,B,Completed,Follow-up,Launch,3,Yes,5
V0000072,2025-01-03,R003,Karim Hany,D0065,Dr. Nour Samir,Gyna,Ashmoun,A,Completed,Not Available,Follow-up,2,No,18
V0000073,2025-01-03,R004,Sara Mostafa,D0083,Dr. Mariam Tarek,Internal,Sadat City,B,Completed,Not Available,Educational,1,No,15
V0000074,2025-01-03,R004,Sara Mostafa,D0095,Dr. Mostafa Wael,Internal,Sadat City,B,Completed,Interested,Routine,0,No,19
V0000075,2025-01-03,R004,Sara Mostafa,D0090,Dr. Rana Wael,Gyna,Sadat City,A,Completed,Interested,Educational,3,No,23
V0000076,2025-01-03,R005,Mahmoud Tarek,D0106,Dr. Rana Adel,Internal,Tanta,C,Completed,Sample Accepted,Routine,1,Yes,14
V0000077,2025-01-03,R005,Mahmoud Tarek,D0102,Dr. Mostafa Emad,Internal,Tanta,C,Completed,Interested,Educational,0,Yes,32
V0000078,2025-01-03,R006,Nada Wael,D0133,Dr. Mostafa Ali,Internal,El Mahalla El Kubra,B,Rescheduled,Not Applicable,Educational,0,No,0
V0000079,2025-01-03,R006,Nada Wael,D0130,Dr. Mostafa Adel,Gyna,El Mahalla El Kubra,B,Completed,Sample Accepted,Launch,0,Yes,26
V0000080,01/03/2025,R006,Nada Wael,D0143,Dr. Nour Fathy,Internal,El Mahalla El Kubra,A,Completed,Follow-up,Launch,2,No,16
V0000081,2025-01-03,R006,Nada Wael,D0131,Dr. Mariam Emad,Internal,El Mahalla El Kubra,A,Completed,No Interest,Launch,2,No,25
V0000082,2025-01-03,R007,Mostafa Adel,D0160,Dr. Mostafa Saad,Internal,Benha,C,Completed,Not Available,Routine,0,No,24
V0000083,2025-01-03,R007,mostafa adel,D0159,Dr. Ahmed Saad,Internal,Benha,C,Cancelled,Not Applicable,Launch,0,No,0
V0000084,2025-01-03,R007,Mostafa Adel,D0171,Dr. Mina Nabil,Gyna,Benha,C,Completed,Follow-up,Launch,0,Yes,18
V0000085,2025-01-03,R008,Yara Emad,D0191,Dr. Mina Adel,Gyna,Shubra El Kheima,B,Rescheduled,Not Applicable,Routine,0,No,0
V0000086,2025-01-03,R008,Yara Emad,D0212,Dr. Nour Fathy,Gyna,Shubra El Kheima,B,Completed,Interested,Launch,2,No,20
V0000087,2025-01-03,R008,Yara Emad,D0207,Dr. Ahmed Adel,Internal,Shubra El Kheima,C,Completed,Sample Accepted,Follow-up,0,Yes,22
V0000088,2025-01-03,R008,Yara Emad,D0205,Dr. Mina Saad,Pedia,Shubra El Kheima,B,Completed,Interested,Follow-up,2,Yes,24
V0000089,2025-01-03,R010,Rana Ashraf,D0258,Dr. Mina Nabil,Pedia,Maadi,A,Completed,Sample Accepted,Routine,2,No,19
V0000090,2025-01-03,R010,Rana Ashraf,D0250,Dr. Mahmoud Tarek,Internal,Maadi,B,Completed,Interested,Follow-up,1,Yes,17
V0000091,2025-01-03,R010,Rana Ashraf,D0270,Dr. Aya Saad,Pedia,Maadi,A,Completed,Interested,Educational,2,Yes,21
V0000092,2025-01-03,R011,Mohamed Saad,D0280,Dr. Mahmoud Samir,Internal,Nasr City,C,Completed,Sample Accepted,Follow-up,0,Yes,24
V0000093,2025-01-03,R011,Mohamed Saad,D0307,Dr. Mohamed Fathy,Internal,Nasr City,B,Completed,Follow-up,Educational,1,Yes,18
V0000094,2025-01-03,R011,Mohamed Saad,D0283,Dr. Ahmed Saad,Pedia,Nasr City,A,Completed,Interested,Launch,4,Yes,16
V0000095,2025-01-03,R011,Mohamed Saad,D0302,Dr. Mahmoud Emad,Internal,Nasr City,C,Completed,Sample Accepted,Follow-up,1,Yes,20
V0000096,2025-01-06,R001,Ahmed Hassan,D0026,Dr. Mostafa Ali,Internal,Shebin El-Kom,B,Completed,Follow-up,Follow-up,2,No,8
V0000097,06/01/2025,R001,Ahmed Hassan,D0005,Dr. Mostafa Nabil,Internal,Shebin El-Kom,B,Completed,No Interest,Follow-up,1,No,6
V0000098,2025-01-06,R001,Ahmed Hassan,D0010,Dr. Aya Saad,Internal,Shebin El-Kom,C,Completed,No Interest,Follow-up,1,No,15
V0000099,2025-01-06,R001,Ahmed Hassan,D0028,Dr. Mohamed Tarek,Internal,Shebin El-Kom,A,Cancelled,Not Applicable,Follow-up,0,No,0
V0000100,2025-01-06,R002,Mona Samir,D0033,Dr. Ahmed Wael,Pedia,Menouf,C,Completed,Not Available,Educational,1,No,15
V0000101,2025-01-06,R002,Mona Samir,D0037,Dr. Ahmed Tarek,Gyna,Menouf,B,Completed,Not Available,Routine,0,No,13
V0000102,2025-01-06,R002,Mona Samir,D0040,Dr. Mina Samir,Internal,Menouf,A,Completed,Follow-up,Educational,0,Yes,22
V0000103,2025-01-06,R002,Mona Samir,D0050,Dr. Mostafa Emad,Gyna,Menouf,A,Completed,Sample Accepted,Educational,1,Yes,17
V0000104,2025-01-06,R003,Karim Hany,D0054,Dr. Mina Nabil,Internal,Ashmoun,B,Completed,Sample Accepted,Launch,0,No,18
V0000105,2025-01-06,R003,Karim Hany,D0061,Dr. Aya Adel,Internal,Ashmoun,A,Completed,Interested,Educational,1,No,20
V0000106,2025-01-06,R004,Sara Mostafa,D0080,Dr. Mohamed Tarek,Internal,Sadat City,C,Completed,Interested,Educational,0,No,13
V0000107,2025-01-06,R004,Sara Mostafa,D0081,Dr. Mahmoud Tarek,Pedia,Sadat City,C,Completed,Sample Accepted,Educational,1,No,10
V0000108,2025-01-06,R004,Sara Mostafa,D0082,Dr. Mohamed Fathy,Gyna,Sadat City,C,Completed,Not Available,Educational,0,No,13
V0000109,2025-01-06,R004,Sara Mostafa,D0073,Dr. Rana Ali,Gyna,Sadat City,B,Cancelled,Not Applicable,Follow-up,0,No,0
V0000110,2025-01-06,R005,Mahmoud Tarek,D0104,Dr. Sara Emad,Pedia, Tanta,C,Completed,Not Available,Follow-up,0,No,22
V0000111,2025-01-06,R005,Mahmoud Tarek,D0105,Dr. Ahmed Tarek,Internal,TANTA,B,Completed,Interested,Launch,0,Yes,19
V0000112,2025-01-06,R005,Mahmoud Tarek,D0111,Dr. Sara Fathy,Internal,Tanta,A,Completed,Follow-up,Routine,2,Yes,24
V0000113,2025-01-06,R007,Mostafa Adel,D0165,Dr. Sara Emad,Internal,Benha,A,Completed,Follow-up,Routine,2,Yes,14
V0000114,2025-01-06,R007,Mostafa Adel,D0180,Dr. Sara Samir,Internal,Benha,B,Completed,Interested,Routine,1,Yes,15
V0000115,2025-01-06,R007,Mostafa Adel,D0170,Dr. Mina Ali,Pedia,Benha,B,Completed,Sample Accepted,Launch,1,No,24
V0000116,2025-01-06,R008,Yara Emad,D0201,Dr. Aya Nabil,Pedia,Shubra El Kheima,B,Completed,Sample Accepted,Educational,0,Yes,15
V0000117,2025-01-06,R008,Yara Emad,D0190,Dr. Ahmed Samir,Internal,Shubra El Kheima,B,Completed,Follow-up,Follow-up,1,Yes,20
V0000118,2025-01-06,R008,Yara Emad,D0188,Dr. Mahmoud Wael,Pedia,Shubra El Kheima,C,Completed,Interested,Follow-up,1,Yes,10
V0000119,2025-01-06,R008,Yara Emad,D0191,Dr. Mina Adel,Gyna,Shubra El Kheima,B,Completed,Follow-up,Educational,1,Yes,18
V0000120,2025-01-06,R011,Mohamed Saad,D0298,Dr. Mohamed Nabil,Pedia,Nasr City,A,Completed,Follow-up,Routine,2,Yes,14
V0000121,2025-01-06,R011,Mohamed Saad,D0284,Dr. Mahmoud Adel,Gyna,Nasr City,B,Rescheduled,Not Applicable,Launch,0,No,0
V0000122,2025-01-06,R011,Mohamed Saad ,D0286,Dr. Aya Saad,Internal,Nasr City,A,Completed,Interested,Educational,1,No,15
V0000123,2025-01-06,R011,Mohamed Saad,D0306,Dr. Mariam Fathy,Pedia,Nasr City,C,Completed,Interested,Follow-up,0,No,19
V0000124,2025-01-07,R001,Ahmed Hassan,D0024,Dr. Nour Wael,Internal,Shebin El-Kom,C,Completed,Interested,Follow-up,2,Yes,18
V0000125,2025-01-07,R001,Ahmed Hassan,D0013,Dr. Mohamed Emad,Gyna,Shebin El-Kom,C,Completed,Follow-up,Follow-up,1,Yes,16
V0000126,2025-01-07,R001,Ahmed Hassan,D0028,Dr. Mohamed Tarek ,Internal,Shebin El-Kom,A,Completed,Sample Accepted,Routine,1,Yes,24
V0000127,2025-01-07,R001,Ahmed Hassan,D0005,Dr. Mostafa Nabil,Internal,Shebin El-Kom,B,Cancelled,Not Applicable,Routine,0,No,0
V0000128,2025-01-07,R002, Mona Samir,D0039,Dr. Nour Tarek,Pediatrics,Menouf,A,Completed,Follow-up,Launch,2,No,26
V0000129,2025-01-07,R002,Mona Samir,D0034,Dr. Mohamed Emad,Pedia,Menouf,C,Completed,Follow-up,Educational,1,No,19
V0000130,2025-01-07,R003,Karim Hany,D0070,Dr. Mariam Ali,Internal,Ashmoun,C,Completed,Sample Accepted,Launch,2,Yes,14
V0000131,2025-01-07,R003,Karim Hany,D0057,Dr. Mahmoud Nabil,Pedia, Ashmoun,C,Completed,Follow-up,Launch,0,No,18
V0000132,2025-01-07,R004,Sara Mostafa,D0090,Dr. Rana Wael,Gyna,Sadat City,A,Completed,Sample Accepted,Follow-up,1,Yes,18
V0000133,2025-01-07,R004,Sara Mostafa,D0092,Dr. Nour Wael,Internal,Sadat City,B,Cancelled,Not Applicable,Educational,0,No,0
V0000134,2025-01-07,R004,Sara Mostafa,D0079,Dr. Nour Emad,Pedia,Sadat City,B,Completed,Not Available,Follow-up,1,No,15
V0000135,2025-01-07,R004,Sara Mostafa,D0075,Dr. Ahmed Hassan,Internal,Sadat City,A,Completed,Follow-up,Launch,1,Yes,15
V0000136,2025-01-07,R005,mahmoud tarek,D0122,Dr. Nour Nabil,Pedia,Tanta,A,Completed,Sample Accepted,Routine,3,Yes,17
V0000137,2025-01-07,R005,Mahmoud Tarek,D0120,Dr. Aya Saad,Pedia,Tanta,A,Cancelled,Not Applicable,Educational,0,No,0
V0000138,2025-01-07,R006,Nada Wael,D0131,Dr. Mariam Emad,Internal,el mahalla el kubra,A,Completed,Interested,Educational,1,Yes,15
V0000139,2025-01-07,R006,Nada Wael,D0151,Dr. Mina Hassan,Gyna,El Mahalla El Kubra,B,Completed,Sample Accepted,Launch,2,No,12
V0000140,2025-01-07,R007,Mostafa Adel,D0167,Dr. Aya Tarek,Pedia,Benha,B,Completed,Follow-up,Educational,0,No,10
V0000141,2025-01-07,R007,Mostafa Adel,D0181,Dr. Mina Ali,Internal,Benha,B,Completed,Interested,Routine,0,No,20
V0000142,2025-01-07,R008,Yara Emad,D0217,Dr. Mostafa Adel,Pedia,Shubra El Kheima,C,Completed,Interested,Educational,1,No,17
V0000143,2025-01-07,R008,Yara Emad,D0199,Dr. Mohamed Hassan,Pedia,Shubra El Kheima,B,Completed,Interested,Follow-up,1,Yes,24
V0000144,2025-01-07,R008,Yara Emad,D0213,Dr. Mina Ali,Internal,Shubra El Kheima,B,Completed,Follow-up,Launch,0,No,22
V0000145,2025-01-07,R008,Yara Emad,D0185,Dr. Nour Nabil,Pedia,Shubra El Kheima,B,Completed,Interested,Routine,0,Yes,19
V0000146,2025-01-07,R010,Rana Ashraf,D0244,Dr. Rana Ali,Internal,Maadi,B,Completed,Interested,Educational,0,Yes,16
V0000147,2025-01-07,R010,Rana Ashraf,D0261,Dr. Mina Wael,Gyna,Maadi,C,Completed,Interested,Educational,2,No,17
V0000148,2025-01-07,R011,Mohamed Saad,D0288,Dr. Ahmed Wael,Pedia,Nasr City,B,Completed,Interested,Routine,0,Yes,7
V0000149,2025-01-07,R011,Mohamed Saad,D0303,Dr. Ahmed Saad,Gyna,Nasr City,B,Completed,Sample Accepted,Educational,1,Yes,18
V0000150,2025-01-07,R011,Mohamed Saad,D0287,Dr. Sara Adel,Gyna,Nasr City,B,Completed,Not Available,Routine,1,No,20
V0000151,2025-01-07,R011,Mohamed Saad,D0276,Dr. Aya Adel,Internal,Nasr City,C,Completed,Sample Accepted,Launch,2,No,14
V0000152,2025-01-08,R001,Ahmed Hassan,D0004,Dr. Rana Emad,Pedia,Shebin El-Kom,C,Completed,Interested,Launch,0,Yes,21
V0000153,2025-01-08,R001,Ahmed Hassan,D0009,DR. MOSTAFA SAMIR,Gyna,Shebin El-Kom,B,Completed,Follow-up,Follow-up,0,Yes,25
V0000154,2025-01-08,R001,Ahmed Hassan,D0014,Dr. Nour Wael,Pedia,Shebin El-Kom,B,Completed,Sample Accepted,Launch,1,Yes,15
V0000155,2025-01-08,R001,ahmed hassan,D0021,Dr. Mostafa Ali,Gyna,Shebin El-Kom,C,Cancelled,Not Applicable,Routine,0,No,0
V0000156,2025-01-08,R002,Mona Samir,D0047,Dr. Mohamed Hassan,Gyna,Menouf,C,Completed,Follow-up,Routine,1,No,8
V0000157,2025-01-08,R002,Mona Samir,D0033,Dr. Ahmed Wael,Pedia,Menouf,C,Completed,Interested,Launch,1,Yes,13
V0000158,2025-01-08,R003,Karim Hany,D0058,Dr. Mahmoud Hassan,Internal,Ashmoun,A,Completed,Not Available,Educational,0,No,9
V0000159,2025-01-08,R003,Karim Hany,D0052,Dr. Sara Tarek,Internal,Ashmoun,B,Completed,No Interest,Launch,2,No,19
V0000160,2025-01-08,R003,Karim Hany,D0054,Dr. Mina Nabil,Internal,Ashmoun,B,Completed,No Interest,Follow-up,2,No,22
V0000161,2025-01-08,R003,Karim Hany,D0061,Dr. Aya Adel,Internal,Ashmoun,A,Completed,Sample Accepted,Routine,2,No,16
V0000162,2025-01-08,R004,Sara Mostafa,D0094,Dr. Aya Samir,internal ,Sadat City,A,Completed,Follow-up,Follow-up,1,Yes,9
V0000163,2025-01-08,R004,Sara Mostafa,D0075,Dr. Ahmed Hassan,Internal,Sadat City,A,Completed,Sample Accepted,Educational,2,Yes,24
V0000164,2025-01-08,R005,Mahmoud Tarek,D0115,Dr. Mostafa Adel,Pedia,Tanta,B,Completed,Interested,Routine,1,Yes,18
V0000165,2025-01-08,R005,Mahmoud Tarek,D0103,Dr. Mariam Tarek,Gyna,Tanta,A,Cancelled,Not Applicable,Routine,0,No,0
V0000166,2025-01-08,R005,Mahmoud Tarek,D0112,Dr. Sara Nabil,Gyna,Tanta,C,Completed,Follow-up,Launch,0,No,12
V0000167,2025-01-08,R006,Nada Wael,D0144,Dr. Sara Saad,Internal,El Mahalla El Kubra,B,Completed,Follow-up,Follow-up,0,Yes,23
V0000168,2025-01-08,R006,Nada Wael,D0133,Dr. Mostafa Ali,Internal,El Mahalla El Kubra,B,Completed,Interested,Educational,0,Yes,19
V0000169,2025-01-08,R006,Nada Wael,D0134,Dr. Mostafa Samir,Gyna,El Mahalla El Kubra,B,Completed,Follow-up,Follow-up,3,No,16
V0000170,2025-01-08,R007,Mostafa Adel,D0183,Dr. Aya Saad,Internal,Benha,A,Completed,Sample Accepted,Follow-up,2,Yes,24
V0000171,2025-01-08,R007,Mostafa Adel,D0165,Dr. Sara Emad,Internal,Benha,A,Completed,Sample Accepted,Educational,2,No,5
V0000172,2025-01-08,R008,Yara Emad,D0185,Dr. Nour Nabil,Pedia,Shubra El Kheima,B,Completed,Not Available,Launch,0,No,18
V0000173,2025-01-08,R008,Yara Emad,D0206,Dr. Rana Ali,Pedia,Shubra El Kheima,B,Cancelled,Not Applicable,Follow-up,0,No,0
V0000174,2025-01-08,R008,Yara Emad,D0202,Dr. Mina Fathy,Internal,Shubra El Kheima,B,Cancelled,Not Applicable,Follow-up,0,No,0
V0000175,2025-01-08,R010,Rana Ashraf,D0262,Dr. Mohamed Ali,Gyna,Maadi,C,Completed,Interested,Educational,1,No,26
V0000176,2025-01-08,R010,Rana Ashraf,D0265,Dr. Nour Emad,Gyna,Maadi,B,Completed,Interested,Educational,1,Yes,25
V0000177,2025-01-08,R010,Rana Ashraf,D0256,Dr. Sara Samir,Gyna,Maadi,C,Rescheduled,Not Applicable,Launch,0,No,0
V0000178,2025-01-08,R011,Mohamed Saad,D0276,Dr. Aya Adel,Internal,Nasr City,C,Completed,Sample Accepted,Routine,2,No,30
V0000179,2025-01-08,R011,Mohamed Saad,D0300,Dr. Mahmoud Fathy,Pedia,Nasr City,A,Rescheduled,Not Applicable,Follow-up,0,No,0
V0000180,2025-01-08,R011,Mohamed Saad,D0279,Dr. Mariam Wael,Internal,Nasr City,B,Completed,Follow-up,Launch,0,No,20
V0000181,2025-01-09,R001,Ahmed Hassan,D0017,Dr. Sara Adel,Pedia,Shebin El-Kom,B,Completed,Interested,Launch,0,No,13
V0000182,2025-01-09,R001,Ahmed Hassan,D0014,Dr. Nour Wael,Pedia,Shebin El-Kom,B,Completed,Sample Accepted,Launch,1,Yes,31
V0000183,2025-01-09,R002,Mona Samir,D0047,Dr. Mohamed Hassan,Gyna,Menouf,C,Completed,Follow-up,Launch,0,Yes,31
